ID,overlap,Conspiracy topic,Label,Time stamp ,Attila ,Dimitris,Ivette ,Neris,Thalia ,Member,NewAddCount,,RatingsCount,
F8kH0QXsSgU,1,Soros behind migration,3,5:49,3,3,,,3,Attila,,,,
pzxjkx-szPY,1,Government testing secret weapon,2,12:57,2,,2,2,,Attila,,,,
4UjqFaQq_7I,1,area 51,3,0:23,,3,3,,3,Dimitris,,,,
zw7A5hjrz58,1,fake snow,2,0:59,,2,2,,2,Dimitris,,,,
lgM8SoLzC3U,1,vaccines,2,3:14,2,,2,2,,Attila,,,,
-knwgFx7BLQ,1,Covid-19,2,0:17,,2,2,,3,Dimitris,,,,
sVYK9-esCKY,1,"Epstein's ""suicide""",2,4:24,2,2,2,,,Attila,,,,
QDIfFb5z7eQ,1,Covid-19,3,7:45,,3,3,,3,Dimitris,,,,
u82iSLtylfQ,1,Bill Gates conspiracies,3,4:30,,3,3,,3,Dimitris,,,,
fMxFSfIV3Dc,1,CIA invention AIDS,3,0:15,,3,3,2,,Neris,,,,
PTz1Dm9iavk,1,Paul McCartney replacement + Beatles society engineering,3,4:42,,3,3,3,,Neris,,,,
cO_fWUiO70s,1,The secret Soros-Kusner deal,3,2:52,3,,3,,3,Attila,,,,
KfV6NPKbLqc,1,Bill Gates conspiracies,3,3:40,3,,3,2,,Attila,,,,
UCEjpJG_578,1,Stolen election,3,3:11,3,3,3,,,Attila,,,,
ygt2Sq1upcs,1,Fluoridation,3,2:09,3,,3,1,,Attila,,,,
k-mSuiW0RXs,1,Obama is the antichrist,2,7:01,2,,2,,2,Attila,,,,
-7o3bVInA2A,1,Qanon,3,3:00,3,3,3,,,Dimitris,,,,
6B-_u8a3plE,1,Hollywood Conspiracies,2,0:38,,2,2,,2,Dimitris,,,,
jbQBeHXdWgw,1,Beyonce is a reptilian,2,0:26,,2,2,,2,Thalia,,,,
f0eIMUHictw,1,Flat Earth,3,2:52,3,,3,3,,Attila,,,,
2zil2GTcPEw,1,Weather weapons,2,2:43,2,,2,2,,Attila,,,,
k4-rs5JiqqA,1,5G,2,2:23,2,,2,2,,Attila,,,,
1Jg92tgN_l8,1,5G,2,2:23,2,,2,2,,Attila,,,,
X-oJNOFUujo,1,5G,2,0:59,2,,2,2,,Attila,,,,
9M7oLxDmaek,1,Covid and 5G,2,0:59,2,,2,3,,Attila,,,,
vhYoEAAYi1w,1,BLM,3,1:40,3,3,3,,,Dimitris,,,,
K2S75Xrqncw,1,9/11 and Moon Landing conspiracies,2,13:41,2,2,2,,,Dimitris,,,,
1MzxFwglO10,1,9/11,3,1:33:14,3,3,3,,,Dimitris,,,,
EUJozeN7WyM,1,Election Fraud,2,1:25,2,2,2,,,Dimitris,,,,
5N0SfkKQNhg,1,9/11,3,2:20,3,3,3,,,Dimitris,,,,
mAbgrGdx5Xg,1,Trump,2,,2,2,2,,,Dimitris,,,,
V6yHPRsxyRo,1,Flat Earth,2,1:17,2,2,2,,,Dimitris,,,,
RE9pP1BTBO8,1,lizard people,2,3:03,2,,2,2,,Attila,,,,
DAo_CDPDKA0,1,Area 51,2,2:31,2,,2,,2,Attila,,,,
fSVJffE_Msc,1,Background power,3,2:59,3,,3,3,,Attila,,,,
ZODE_sRMiT0,1,Bilderberg Group,2,3:52,3,,2,2,,Attila,,,,
